Symbol,Description,Exchange
OTLKW,Outlook Therapeutics Inc,NASDAQ
OTTR,Otter Tail Corp,NASDAQ
OTTW,Ottawa Saving Bcp IL,NASDAQ
OVBC,Ohio Valley Banc Cp,NASDAQ
OVID,Ovid Therapeutics Inc,NASDAQ
OVLY,Oak Valley Bancp CA,NASDAQ
OXBR,Oxbridge Ord Shrs,NASDAQ
OXBRW,Oxbridge WT,NASDAQ
OXFD,Oxford Immunotec,NASDAQ
OXLC,Oxford Lane Capital,NASDAQ
OXLCM,Oxford Lane Capital Corp Pfd Ser 2024,NASDAQ
OXLCO,Oxford Lane Cap 7.5,NASDAQ
OXSQ,Oxford Square Capital Corp,NASDAQ
OXSQL,Oxford Square Capital Corp 6.50% Note Due 2024,NASDAQ
OXSQZ,Oxford Square Capital Corp. 6.25% Notes Due 2026,NASDAQ
OZK,Bank Ozk,NASDAQ
PAAC,Proficient Alpha Acquisition Corp,NASDAQ
PAACR,Proficient Alpha Acquisition Corp Rights,NASDAQ
PAACU,Proficient Alpha Acquisition Corp. Unit,NASDAQ
PAACW,Proficient Alpha Acquisition Corp WT,NASDAQ
PAAS,Pan Amer Silver Corp,NASDAQ
PACB,Pacific Biosciences,NASDAQ
PACQ,Pure Acquisition Corp Cl A,NASDAQ
PACQU,Pure Acquisition Corp Unit,NASDAQ
PACQW,Pure Acquisition Corp WT,NASDAQ
PACW,Pacwest Bancorp,NASDAQ
PAHC,Phibro Anl Htlh A,NASDAQ
PANL,Pangaea Logistics So,NASDAQ
PATI,Patriot TR HD,NASDAQ
PATK,Patrick Inds Inc,NASDAQ
PAVM,Pavmed Inc,NASDAQ
PAVMW,Pavmed Inc WT,NASDAQ
PAVMZ,Pavmed Inc Series Z WT,NASDAQ
PAYS,Paysign Inc,NASDAQ
PAYX,Paychex Inc,NASDAQ
PBBI,Pb Bancorp Inc,NASDAQ
PBCT,People's United Finl,NASDAQ
PBCTP,Peoples Utd Finl Inc,NASDAQ
PBFS,Pioneer Bancorp Inc,NASDAQ
PBHC,Pathfinder Bcp MD,NASDAQ
PBIP,Prudential Bancorp,NASDAQ
PBPB,Potbelly Corp,NASDAQ
PBTS,Powerbridge Technologies Co. Ltd,NASDAQ
PBYI,Puma Biotechnology,NASDAQ
PCAR,Paccar Inc,NASDAQ
PCB,Pacific City Finl Cp,NASDAQ
PCH,Potlatch Cp,NASDAQ
PCMI,PCM Inc,NASDAQ
PCOM,Points Intl Ltd,NASDAQ
PCRX,Pacira Pharm Inc,NASDAQ
PCSB,Pcsb Financial Corp,NASDAQ
PCTI,Pc-Tel Inc,NASDAQ
PCTY,Paylocity Hldng Corp,NASDAQ
PCYG,Park City Group,NASDAQ
PCYO,Pure Cycle Corp,NASDAQ
PDBC,Optimum Yield Diversified Commodity Strategy No,NASDAQ
PDCE,Pdc Energy Inc,NASDAQ
PDCO,Patterson Companies,NASDAQ
PDD,Pinduoduo Inc ADR,NASDAQ
PDEV,Principal International Multi-Factor Core Index,NASDAQ
PDEX,Pro-Dex Inc New,NASDAQ
PDFS,Pdf Solutions Inc,NASDAQ
PDLB,Pdl Community Bancorp,NASDAQ
PDLI,Pdl Biopharma Inc,NASDAQ
PDP,DWA Momentum Invesco ETF,NASDAQ
PDSB,Pds Biotechnology Corp,NASDAQ
PEBK,Peoples Bancorp NC,NASDAQ
PEBO,Peoples Bancorp Inc,NASDAQ
PECK,The Peck Company Inc,NASDAQ
PEGA,Pegasystems Inc,NASDAQ
PEGI,Pattern Energy Cl A,NASDAQ
PEIX,Pacific Ethanol Inc,NASDAQ
PENN,Penn Natl Gaming Inc,NASDAQ
PEP,Pepsico Inc,NASDAQ
PERI,Perion Network Ltd,NASDAQ
PESI,Perma-Fix Envir,NASDAQ
PETQ,Petiq Inc Cl A,NASDAQ
PETS,Petmed Express Inc,NASDAQ
PETZ,Tdh Holdings Inc,NASDAQ
PEY,High Yield Equity Dividend Achievers Invesco ETF,NASDAQ
PEZ,DWA Consumer Cyclicals Momentum Invesco ETF,NASDAQ
PFBC,Preferred Bank LA,NASDAQ
PFBI,Premier Finl Bncp,NASDAQ
PFF,US Preferred Stock Ishares ETF,NASDAQ
PFG,Principal Financial Group Inc,NASDAQ
PFI,DWA Financial Momentum Invesco ETF,NASDAQ
PFIE,Profire Energy,NASDAQ
PFIN,P F Inds Inc A,NASDAQ
PFIS,Peoples Finl Svcs Company,NASDAQ
PFLT,Pennantpark Fltng Rt,NASDAQ
PFM,Dividend Achievers Invesco ETF,NASDAQ
PFMT,Performant Financial,NASDAQ
PFPT,Proofpoint Inc,NASDAQ
PFSW,Pfsweb Inc,NASDAQ
PGC,Peapack Gladstone FI,NASDAQ
PGJ,Golden Dragon China Invesco ETF,NASDAQ
PGNX,Progenics Pharmaceuticals,NASDAQ
PHAS,Phasebio Pharmaceuticals Inc,NASDAQ
PHCF,Puhui Wealth Investment Management Company,NASDAQ
PHIO,Phio Pharmaceuticals Corp,NASDAQ
PHIOW,Phio Pharmaceuticals Corp WT,NASDAQ
PHO,Water Resources Invesco ETF,NASDAQ
PHUN,Phunware Inc,NASDAQ
PHUNW,Phunware Inc WT,NASDAQ
PI,Impinj Inc,NASDAQ
PICO,Pico Holdings Inc,NASDAQ
PID,Intl Dividend Achievers Invesco ETF,NASDAQ
PIE,DWA Emerging Markets Momentum Invesco ETF,NASDAQ
PIH,1347 Property Ins,NASDAQ
PIHPP,1347 Property Insurance Holdings Inc Pfd Ser A,NASDAQ
PINC,Premier Inc Cl A,NASDAQ
PIO,Global Water Invesco ETF,NASDAQ
PIRS,Pieris Pharma,NASDAQ
PIXY,Shiftpixy Inc,NASDAQ
PIZ,DWA Developed Markets Momentum Invesco ETF,NASDAQ
PKBK,Parke Bancorp Inc,NASDAQ
PKOH,Park Ohio Hldg Cp,NASDAQ
PKW,Buyback Achievers Invesco ETF,NASDAQ
PLAB,Photronics Inc,NASDAQ
PLAY,Dave & Buster's Ente,NASDAQ
PLBC,Plumas Bancorp,NASDAQ
PLC,Principal U.S. Large-Cap Multi-Factor Core Index,NASDAQ
PLCE,Children's Place Inc,NASDAQ
PLIN,China Xiangtai Food Company,NASDAQ
PLL,Piedmont Lithium Ltd ADR,NASDAQ
PLMR,Palomar Holdings Inc,NASDAQ
PLPC,Preformed Line Prd,NASDAQ
PLSE,Pulse Biosciences CS,NASDAQ
PLUG,Plug Power Inc,NASDAQ
PLUS,Eplus Inc,NASDAQ
PLW,1-30 Laddered Treasury Invesco ETF,NASDAQ
PLXP,Plx Pharma Inc,NASDAQ
PLXS,Plexus Cp,NASDAQ
PLYA,Playa Hotels & Resorts N.V.,NASDAQ
PMBC,Pacific Mercantile,NASDAQ
PMD,Psychemedics,NASDAQ
PME,Pingtan Marine,NASDAQ
PMOM,Principal Sustainable Momentum Index ETF,NASDAQ
PMTS,CPI Card Group,NASDAQ
PNBK,Patriot Natl Bncp,NASDAQ
PNFP,Pinnacle Finl Ptnrs,NASDAQ
PNNT,Pennantpark Investme,NASDAQ
PNQI,Nasdaq Internet Invesco ETF,NASDAQ
PNRG,Primeenergy Cp,NASDAQ
PNRL,Paringa Resources Ltd ADR,NASDAQ
PNTR,Pointer Telocation,NASDAQ
POAI,Predictive Oncology Inc,NASDAQ
PODD,Insulet Corp,NASDAQ
POLA,Polar Power Inc,NASDAQ
POOL,Pool Corp,NASDAQ
POPE,Pope Resource Uts,NASDAQ
POWI,Power Integratn,NASDAQ
POWL,Powell Inds Inc,NASDAQ
PPBI,Pacific Premier Bncp,NASDAQ
PPC,Pilgrim's Pride,NASDAQ
PPH,Pharmaceutical Vaneck ETF,NASDAQ
PPHI,Positive Physicians Holdings Inc,NASDAQ
PPIH,Perma-Pipe International Holdings Inc,NASDAQ
PPSI,Pioneer Pwr Sol,NASDAQ
PRAA,Pra Group Inc,NASDAQ
PRAH,Pra Health,NASDAQ
PRCP,Perceptron Inc,NASDAQ
PRFT,Perficient Inc,NASDAQ
PRFZ,FTSE RAFI US 1500 Small- Mid Invesco ETF,NASDAQ
PRGS,Progress Software,NASDAQ
PRGX,Prgx Global Inc,NASDAQ
PRIM,Primoris Services Cp,NASDAQ
PRMW,Primo Water Corp,NASDAQ
PRN,DWA Industrials Momentum Invesco ETF,NASDAQ
PRNB,Principia Biopharma Inc,NASDAQ
PROV,Provident Financial,NASDAQ
PRPH,Prophase Labs Inc,NASDAQ
PRPL,Purple Innovation Inc,NASDAQ
PRPO,Precipio Inc,NASDAQ
PRQR,Proqr Therapeutics,NASDAQ
PRSC,Providence Svc Cp,NASDAQ
PRTA,Prothena Corp,NASDAQ
PRTH,Priority Techno Holdings Inc,NASDAQ
PRTK,Paratek Pharma Inc,NASDAQ
PRTO,Proteon Thera Com ST,NASDAQ
PRTS,U.S. Auto Parts Netw,NASDAQ
PRVB,Provention Bio Inc,NASDAQ
PRVL,Prevail Therapeutics Inc,NASDAQ
PS,Pluralsight Inc Cl A,NASDAQ
PSC,Resources Prospect Ltd,NASDAQ
PSCC,S&P Smallcap Consumer Staples Invesco ETF,NASDAQ
PSCD,S&P Smallcap Consumer Discretionary Invesco ETF,NASDAQ
PSCE,S&P Smallcap Energy Invesco ETF,NASDAQ
PSCF,S&P Smallcap Financials Invesco ETF,NASDAQ
PSCH,S&P Smallcap Health Care Invesco ETF,NASDAQ
PSCI,S&P Smallcap Industrials Invesco ETF,NASDAQ
PSCM,S&P Smallcap Materials Invesco ETF,NASDAQ
PSCT,S&P Smallcap Information Technology Invesco ETF,NASDAQ
PSCU,S&P Smallcap Utilities Invesco ETF,NASDAQ
PSDO,Presidio Inc,NASDAQ
PSEC,Prospect Capital Cp,NASDAQ
PSET,Principal Price Setters ETF,NASDAQ
PSL,DWA Consumer Staples Momentum Invesco ETF,NASDAQ
PSM,Principal U.S. Small-Midcap Multi-Factor Core IN,NASDAQ
PSMT,Pricesmart Inc,NASDAQ
PSNL,Personalis Inc,NASDAQ
PSTI,Pluristem Therapeutc,NASDAQ
PSTV,Plus Therapeutics Inc,NASDAQ
PSTVZ,Plus Therapeutics Inc WT,NASDAQ
PT,Pintec Technology Holdings Ltd ADR,NASDAQ
PTC,Ptc Inc,NASDAQ
PTCT,Ptc Therapeutics,NASDAQ
PTE,Polarityte Inc,NASDAQ
PTEN,Patterson-Uti Energy,NASDAQ
PTF,DWA Technology Momentum Invesco ETF,NASDAQ
PTGX,Protagonist Therapeutics Inc,NASDAQ
PTH,DWA Healthcare Momentum Invesco ETF,NASDAQ
PTI,Proteostasis Ther,NASDAQ
PTLA,Portola Pharma,NASDAQ
PTMN,Portman Ridge Finance Corp,NASDAQ
PTNR,Partner Comm Co. Ltd,NASDAQ
PTSI,P A M Transport Sv,NASDAQ
PTVCA,Protective Insurance Corp Cl A,NASDAQ
PTVCB,Protective Insurance Corp Cl B,NASDAQ
PUB,Peoples Utah,NASDAQ
PUI,DWA Utilities Momentum Invesco ETF,NASDAQ
PULM,Pulmatrix Inc,NASDAQ
PUYI,Puyi Inc ADR,NASDAQ
PVAC,Penn VA Corp,NASDAQ
PVAL,Principal Contrarian Value Index ETF,NASDAQ
PVBC,Provident Bancorp CS,NASDAQ
PWOD,Penns Woods Bancorp,NASDAQ
PXI,DWA Energy Momentum Invesco ETF,NASDAQ
PXLW,Pixelworks Inc,NASDAQ
PXS,Pyxis Tankers,NASDAQ
PY,Principal Shareholders Yield ETF,NASDAQ
PYPL,Paypal Holdings,NASDAQ
PYZ,DWA Basic Materials Momentum Invesco ETF,NASDAQ
PZZA,Papa John's Intl,NASDAQ
QABA,Qtec First Trust ETF,NASDAQ
QADA,Qad Inc,NASDAQ
QADB,Q A D Inc Cl B,NASDAQ
QAT,Qatar Ishares MSCI ETF,NASDAQ
QBAK,Qualstar Corp,NASDAQ
QCLN,Nasdaq Clean Edge Green Energy Index Fund FT,NASDAQ
QCOM,Qualcomm Inc,NASDAQ
QCRH,Qcr Holdings Inc,NASDAQ
QDEL,Quidel Cp,NASDAQ
QFIN,360 Finance Inc ADR,NASDAQ
QIWI,Qiwi Plc ADR,NASDAQ
QLC,Flexshares US Quality Largecap,NASDAQ
QLYS,Qualys Inc,NASDAQ
QNST,Quinstreet Inc,NASDAQ
QQEW,Nasdaq-100 EW Index Fund FT,NASDAQ
QQQ,Nasdaq QQQ Invesco ETF,NASDAQ
QQQX,Nuveen Nasdaq 100,NASDAQ
QQXT,Nasdaq-100 Ex-Tech Sector Indexsm Fund FT,NASDAQ
QRHC,Quest Resource,NASDAQ
QRTEA,Qurate Retail Group,NASDAQ
QRTEB,Liberty Int Qvc Sr B,NASDAQ
QRVO,Qorvo Inc,NASDAQ
QTEC,Nasdaq-100 Technology Index Fund FT,NASDAQ
QTNT,Quotient Ltd Ord,NASDAQ
QTRH,Quarterhill Inc,NASDAQ
QTRX,Quanterix Corp,NASDAQ
QTT,Qutoutiao Inc ADR,NASDAQ
QUIK,Quicklogic Corp,NASDAQ
QUMU,Qumu Corp,NASDAQ
QURE,Uniqure N.V.,NASDAQ
QYLD,Horizons Nasdaq-100 Covered Call ETF,NASDAQ
RADA,Rada Electr Inds Ltd,NASDAQ
RAIL,Freightcar America,NASDAQ
RAND,Rand Capital Cp,NASDAQ
RARE,Ultragenyx Pharmaceu,NASDAQ
RARX,Ra Pharmaceuticals Inc,NASDAQ
RAVE,Rave Restaurant Group,NASDAQ
RAVN,Raven Industries Inc,NASDAQ
RBB,Rbb Bancorp,NASDAQ
RBBN,Ribbon Communications Inc,NASDAQ
RBCAA,Republic Bancorp Inc,NASDAQ
RBCN,Rubicon Technology,NASDAQ
RBKB,Rhinebeck Bancorp Inc,NASDAQ
RBNC,Reliant Bancorp Inc,NASDAQ
RBZ,Reebonz Holding Ltd,NASDAQ
RCII,Rent-A-Center Inc,NASDAQ
RCKT,Rocket Pharmaceuticals Inc,NASDAQ
RCKY,Rocky Brands Inc,NASDAQ
RCM,R1 Rcm Inc,NASDAQ
RCMT,R C M Tech Inc,NASDAQ
RCON,Recon Technology Ltd,NASDAQ
RDCM,Radcom Ltd,NASDAQ
RDFN,Redfin Corp,NASDAQ
RDHL,Redhill Biophrma ADR,NASDAQ
RDI,Reading Intl Cl A,NASDAQ
RDIB,Reading International Inc Cl B,NASDAQ
RDNT,Radnet Inc,NASDAQ
RDUS,Radius Health,NASDAQ
RDVT,Red Violet Inc,NASDAQ
RDVY,Rising Dividend Achievers ETF FT,NASDAQ
RDWR,Radware Ltd,NASDAQ
REAL,The Realreal Inc,NASDAQ
RECN,Resources Connect,NASDAQ
REDU,Rise Education Cayman Ltd ADR,NASDAQ
REED,Reeds Inc,NASDAQ
REFR,Research Frontiers,NASDAQ
REG,Regency Centers Corp,NASDAQ
REGI,Renewable Energy,NASDAQ
REGN,Regeneron Pharmaceuticals,NASDAQ
REKR,Rekor Systems Inc,NASDAQ
RELL,Richardson Electrncs,NASDAQ
RELV,Reliv Intl Inc,NASDAQ
REPH,Recro Pharma Inc,NASDAQ
REPL,Replimune Group Inc,NASDAQ
RESN,Resonant Inc,NASDAQ
RETA,Reata Pharma,NASDAQ
RETO,Reto Eco-Solutions Inc,NASDAQ
REXN,Rexahn Pharmaceuticals,NASDAQ
RFAP,Riverfront Dyn Asia Pacific ETF FT,NASDAQ
RFDI,Riverfront Dyn Developed Intl ETF FT,NASDAQ
RFEM,Riverfront Dyn Emerging Markets ETF FT,NASDAQ
RFEU,Riverfront Dyn Europe ETF FT,NASDAQ
RFIL,RF Industries Ltd,NASDAQ
RGCO,Rgc Resources Inc,NASDAQ
RGEN,Repligen Cp,NASDAQ
RGLD,Royal Gold Inc,NASDAQ
RGLS,Regulus Therapeutics,NASDAQ
RGNX,Regenxbio Inc,NASDAQ
RIBT,Ricebran Technologie,NASDAQ
RICK,RCI Hospitality Hold,NASDAQ
RIGL,Rigel Pharmaceuticals,NASDAQ
RILY,B. Riley Financl,NASDAQ
RILYG,B. Riley Financial Inc 7.25% Senior Notes Due,NASDAQ
RILYH,B. Riley Financial Inc 7.375% Senior Notes Due,NASDAQ
RILYI,B. Riley Financial Inc 6.875% Senior Notes Due,NASDAQ
RILYL,B. Riley Financial Inc,NASDAQ
RILYO,B. Riley Financial Inc 6.75% Senior Notes Due,NASDAQ
RILYZ,B. Riley Financial Inc 7.50% Senior Notes Due,NASDAQ
RING,Global Gold Miners Ishares MSCI ETF,NASDAQ
RIOT,Riot Blockchain Inc,NASDAQ
RIVE,Riverview Financial Corp,NASDAQ
RKDA,Arcadia Bio,NASDAQ
RMBI,Richmond Mutual Bancorp Inc,NASDAQ
RMBL,Smart Server Inc,NASDAQ
RMBS,Rambus Inc,NASDAQ
RMCF,Rocky MT Chocolate,NASDAQ
RMNI,Rimini Street Inc,NASDAQ
RMR,The Rmr Grp A,NASDAQ
RMTI,Rockwell Medical IN,NASDAQ
RNDB,Randolph Bancorp Inc,NASDAQ
RNDM,First Trust Exchange-Traded Fund Vi First Trust,NASDAQ
RNDV,First Trust Exchange-Traded Fund Vi First Trust,NASDAQ
RNEM,First Trust Exchange-Traded Fund Vi First Trust,NASDAQ
RNET,Rignet Inc,NASDAQ
RNLC,First Trust Exchange-Traded Fund Vi First Trust,NASDAQ
RNMC,First Trust Exchange-Traded Fund Vi Mid Cap US E,NASDAQ
RNSC,First Trust Exchange-Traded Fund Vi First Trust,NASDAQ
RNST,Renasant Corp,NASDAQ
RNWK,Realnetworks Inc,NASDAQ
ROAD,Construction Partners Inc Cl A,NASDAQ
ROBT,FT Nasdaq Artificial Intelligence and Robotics E,NASDAQ
ROCK,Gibraltar Ind Inc,NASDAQ
ROIC,Retail Opp Invts Cp,NASDAQ
ROKU,Roku Inc,NASDAQ
ROLL,RBC Bearings Incorp,NASDAQ
ROSE,Rosehill Resources Inc,NASDAQ
ROSEU,Rosehill Resources Inc Unit,NASDAQ
ROSEW,Rosehill Resources Inc,NASDAQ
ROST,Ross Stores Inc,NASDAQ
RP,Realpage Inc,NASDAQ
RPAY,Repay Holdings Corp. Cl A,NASDAQ
RPD,Rapid7 Inc,NASDAQ
RRBI,Red River Bancshares Inc,NASDAQ
RRGB,Red Robin Gourmet Burgers Inc,NASDAQ
RRR,Red Rock Resorts Inc,NASDAQ
RTIX,Rti Surgical Inc,NASDAQ
RTLR,Rattler Midstream LP Common Units,NASDAQ
RTRX,Retrophin Inc,NASDAQ
RTTR,Ritter Pharmac. Com,NASDAQ
RUBY,Rubius Therapeutics Inc,NASDAQ
RUHN,Ruhnn Holding Ltd ADR,NASDAQ
RUN,Sunrun Inc,NASDAQ
RUSHA,Rush Entpr Cl A,NASDAQ
RUSHB,Rush Entpr Cl B,NASDAQ
RUTH,Ruth's Hospitality,NASDAQ
RVEN,Reven Housing REIT,NASDAQ
RVLT,Revolution Lgt Tc,NASDAQ
RVNC,Revance Therapeutics,NASDAQ
RVSB,Riverview Bancorp,NASDAQ
RWLK,Rewalk Roboti Ord Sh,NASDAQ
RYAAY,Ryanair Hldgs Plc,NASDAQ
RYTM,Rhythm Pharmaceuticals Inc,NASDAQ
SABR,Sabre Corp,NASDAQ
SAEX,Saexploration Hldgs,NASDAQ
SAFM,Sanderson Farms IN,NASDAQ
SAFT,Safety Ins Group Inc,NASDAQ
SAGE,Sage Therapeutic Com,NASDAQ
SAIA,Saia Inc,NASDAQ
SAL,Salisbury Bancorp,NASDAQ
SALM,Salem Media Grp Inc,NASDAQ
SAMA,Schultze Special Purpose Acquisition Corp,NASDAQ
SAMAU,Schultze Special Purpose Acquisition Corp Unit,NASDAQ
SAMAW,Schultze Special Purpose Acquisition Corp WT,NASDAQ
SAMG,Silvercrest Ast Cm A,NASDAQ
SANM,Sanmina Corp,NASDAQ
SANW,S&W Seed Company,NASDAQ
SASR,Sandy Spring Bancorp,NASDAQ
SATS,Echostar Corp,NASDAQ
SATSV,Echostar Corp Ex-Dist Cl A,NASDAQ
SAUC,Diversified Rstrt HD,NASDAQ
SAVA,Cassava Sciences Inc,NASDAQ
SBAC,SBA Communications,NASDAQ
SBBP,Strongbridge Bio Ord,NASDAQ
SBBX,Sussex Bancorp,NASDAQ
SBCF,Seacoast Banking Cp,NASDAQ
SBFG,Sb Financial Group,NASDAQ
SBFGP,Sb Fin Grp Dep Shs,NASDAQ
SBGI,Sinclair Brdcst A,NASDAQ
SBLK,Star Bulk Carriers,NASDAQ
SBLKZ,Star Bulk Carriers Corp 8.30% Senior Notes Due,NASDAQ
SBNY,Signature Bank,NASDAQ
SBPH,Spring Bank Ph CS,NASDAQ
SBRA,Sabra REIT,NASDAQ
SBSI,Southside Bancshares,NASDAQ
SBT,Sterling Bancorp Inc [Southfield Mi],NASDAQ
SBUX,Starbucks Corp,NASDAQ
SCHL,Scholastic Cp,NASDAQ
SCHN,Schnitzer Steel A,NASDAQ
SCKT,Socket Mobile,NASDAQ
SCON,Superconductor Tech,NASDAQ
SCOR,Comscore Inc,NASDAQ
SCPH,SC Pharmaceuticals Inc,NASDAQ
SCPL,Sciplay Corp Cl A,NASDAQ
SCSC,Scansource Inc,NASDAQ
SCVL,Shoe Carnival Inc,NASDAQ
SCWX,Secureworks Corp CS,NASDAQ
SCYX,Scynexis Inc,NASDAQ
SCZ,EAFE Small-Cap Ishares MSCI ETF,NASDAQ
SDC,Smiledirectclub Inc,NASDAQ
SDG,Ishares MSCI Global Impact ETF,NASDAQ
SDVY,FT Smid Cap Rising Dividend Achievers ETF,NASDAQ
SEAC,Sea Change Intl IN,NASDAQ
SECO,Secoo Holding ADR,NASDAQ
SEDG,Solaredge Tech,NASDAQ
SEED,Origin Agritech Ltd,NASDAQ
SEEL,Seelos Therapeutics Inc,NASDAQ
SEIC,Sei Investments Company,NASDAQ
SELB,Selecta Biosciences,NASDAQ
SELF,Global Self Storage,NASDAQ
SENEA,Seneca Foods Cp A,NASDAQ
SENEB,Seneca Foods Cp B,NASDAQ
SES,Synthesis Energy Sys,NASDAQ
SESN,Sesen Bio Inc,NASDAQ
SFBC,Sound Financial,NASDAQ
SFBS,Servisfirst Bancs,NASDAQ
SFET,Safe-T Group Ltd ADR,NASDAQ
SFIX,Stitch Fix Inc,NASDAQ
SFLY,Shutterfly Inc,NASDAQ
SFM,Sprouts Farmers Mark,NASDAQ
SFNC,Simmons First Natl,NASDAQ
SFST,Southern First Bancs,NASDAQ
SG,Sirius International Insurance Group,NASDAQ
SGA,Saga Communications,NASDAQ
SGBX,Sg Blocks Inc,NASDAQ
SGC,Superior Uniform Group,NASDAQ
SGEN,Seattle Genetics Inc,NASDAQ
SGH,Smart Global Holdings Inc,NASDAQ
SGLB,Sigma Labs Inc,NASDAQ
SGLBW,Sigma Labs Inc WT,NASDAQ
SGMA,Sigmatron Intl Inc,NASDAQ
SGMO,Sangamo Therapeutics,NASDAQ
SGMS,Scientific Games,NASDAQ
SGOC,Sgoco Group Ltd,NASDAQ
SGRP,Spar Group Inc,NASDAQ
SGRY,Surgery Partners CS,NASDAQ
SHBI,Shore Bancshares Inc,NASDAQ
SHEN,Shenandoah Telecom,NASDAQ
SHIP,Seanergy Maritime Hl,NASDAQ
SHIPW,Seanergy Maritime Holdings Corp Cl A WT,NASDAQ
SHIPZ,Seanergy Maritime Holdings Corp Cl B WT,NASDAQ
SHLO,Shiloh Inds Inc,NASDAQ
SHOO,Steven Maddens Ltd,NASDAQ
SHOS,Sears Hometown,NASDAQ
SHSP,Sharpspring Inc,NASDAQ
SHV,Short Treasury Bond Ishares ETF,NASDAQ
SHY,1-3 Year Treasury Bond Ishares ETF,NASDAQ
SIBN,Si-Bone Inc,NASDAQ
SIC,Select Interior Concepts Inc Cl A,NASDAQ
SIEB,Siebert Fin Cp,NASDAQ
SIEN,Sientra Inc,NASDAQ
SIFY,Sify Techs Ltd Ads,NASDAQ
SIGA,Siga Technologies Inc,NASDAQ
SIGI,Selective Ins Group,NASDAQ
SILC,Silicom Ltd,NASDAQ
SILK,Silk Road Medical Inc,NASDAQ
SIMO,Silicon Motion Techn,NASDAQ
SINA,Sina Corp,NASDAQ
SINO,Sino-Global Shipping,NASDAQ
SINT,Sintx Technologies Inc,NASDAQ
SIRI,Sirius XM Holdings,NASDAQ
SITO,Sito Mobile,NASDAQ
SIVB,Svb Financial Group,NASDAQ
SKIS,Peak Resorts,NASDAQ
SKOR,Flexshares Credit Scored US Corp Bond,NASDAQ
SKYS,Sky Solar Holdings,NASDAQ
SKYW,Skywest Inc,NASDAQ
SKYY,Cloud Computing ETF FT,NASDAQ
SLAB,Silicon Labs Inc,NASDAQ
SLCT,Select Bancorp Inc,NASDAQ
SLDB,Solid Biosciences Inc,NASDAQ
SLGG,Super League Gaming Inc,NASDAQ
SLGL,Sol-Gel Technologies Ltd,NASDAQ
SLGN,Silgan Holdings,NASDAQ
SLIM,Obesity ETF,NASDAQ
SLM,SLM Corp,NASDAQ
SLMBP,SLM Cp Srs B Pfd,NASDAQ
SLNG,Stabilis Energy Inc,NASDAQ
SLNO,Soleno Therapeutics Inc,NASDAQ
SLNOW,Soleno Therapeutics Inc,NASDAQ
SLP,Simulations Plus Inc,NASDAQ
SLQD,0-5 Year Invst Grade Corp Bond Ishares ETF,NASDAQ
SLRC,Solar Capital,NASDAQ
SLRX,Salarius Pharmaceuticals Inc,NASDAQ
SLS,Sellas Life Sciences Group Inc,NASDAQ
SLVO,CS X-Links Silver Share,NASDAQ
SMBC,Southern MO Bancorp,NASDAQ
SMBK,Smartfinancial Inc,NASDAQ
SMCP,Alphamark Actmg Smallcap ETF,NASDAQ
SMED,Sharps Compliance,NASDAQ
SMIT,Schmitt Inds Inc,NASDAQ
SMMC,South Mountain Merger Corp Cl A,NASDAQ
SMMCU,South Mountain Merger Corp. Unit,NASDAQ
SMMCW,South Mountain Merger Corp WT,NASDAQ
SMMF,Summit Financial Gp,NASDAQ
SMMT,Summit Therapeu ADR,NASDAQ
SMPL,The Simply Good Foods Company,NASDAQ
SMRT,Stein Mart Inc,NASDAQ
SMSI,Smith Micro Software,NASDAQ
SMTC,Semtech Corp,NASDAQ
SMTX,Smtc Corp,NASDAQ
SNBR,Sleep Number Corp,NASDAQ
SNCR,Synchronoss Technolo,NASDAQ
SND,Smart Sand Inc,NASDAQ
SNDE,Sundance Energy Australia Ltd,NASDAQ
SNDL,Sundial Growers Inc,NASDAQ
SNDX,Syndax Pharma,NASDAQ
SNES,Senestech Inc,NASDAQ
SNFCA,Security Natl Finl,NASDAQ
SNGX,Soligenix Inc,NASDAQ
SNGXW,Soligenix Inc WT,NASDAQ
SNH,Senior Housing Properties Trust,NASDAQ
SNHNI,Senior Housing Properties Trust,NASDAQ
SNHNL,Senior Housing Properties Trust,NASDAQ
SNLN,Pyxis/Iboxx Senior Loan ETF,NASDAQ
SNNA,Sienna Biopharmaceuticals Inc,NASDAQ
SNOA,Sonoma Pharmaceuticals Inc,NASDAQ
SNOAW,Sonoma Pharmaceuticals Inc,NASDAQ
SNPS,Synopsys Inc,NASDAQ
SNSR,G-X Internet of Things Thematic ETF,NASDAQ
SNSS,Sunesis Pharmaceutic,NASDAQ
SNY,Sanofi-Aventis S.A.,NASDAQ
SOCL,G-X Social Media ETF,NASDAQ
SOHO,Sotherly Hotels,NASDAQ
SOHOB,Sotherly Hotels Inc 8.0% Series B Cumulative Re,NASDAQ
SOHON,Sotherly Hotels Inc Perp Pfd Ser D,NASDAQ
SOHOO,Sotherly Hotels LP,NASDAQ
SOHU,Sohu.com Inc,NASDAQ
SOLO,Electrameccanica Vehs Corp,NASDAQ
SOLOW,Electrameccanica Vehicles Corp Ltd WT,NASDAQ
SOLY,Soliton Inc,NASDAQ
SONA,Southern National Bk,NASDAQ
SONG,Akazoo S.A.,NASDAQ
SONGW,Akazoo S.A. WT,NASDAQ
SONM,Sonim Technologies Inc,NASDAQ
SONO,Sonos Inc,NASDAQ
